id_player,serial,total_attempts,on_target,off_target,blocked
ID_3,1,45,23,13,9
ID_27,2,42,22,11,9
ID_60,3,37,18,8,11
ID_77,4,33,13,12,8
ID_67,5,31,19,8,4
ID_131,7,28,7,10,11
ID_100,8,27,16,6,5
ID_2,8,27,8,10,9
ID_101,10,26,11,9,6
ID_139,10,26,10,9,7
ID_116,10,26,10,8,8
ID_61,13,25,14,5,6
ID_152,13,25,12,6,7
ID_103,16,24,15,8,1
ID_82,16,24,7,9,8
ID_13,18,23,10,7,6
ID_127,19,22,12,8,2
ID_110,19,22,9,7,6
ID_238,19,22,8,7,7
ID_295,22,21,10,6,5
ID_30,22,21,8,6,7
ID_193,22,21,6,9,6
ID_115,25,20,6,10,4
ID_314,26,18,8,6,4
ID_196,26,18,7,8,3
ID_185,28,17,11,4,2
ID_134,28,17,6,9,2
ID_214,28,17,3,10,4
ID_128,31,16,10,3,3
ID_133,31,16,8,7,1
ID_37,31,16,7,4,5
ID_123,31,16,5,6,5
ID_237,31,16,3,7,6
ID_201,36,15,9,5,1
ID_210,36,15,9,3,3
ID_125,36,15,8,7,0
ID_184,36,15,4,7,4
ID_79,40,14,8,3,3
ID_4,40,14,5,3,6
ID_38,40,14,2,8,4
ID_108,40,14,2,4,8
ID_370,44,13,7,3,3
ID_154,44,13,6,5,2
ID_265,44,13,6,2,5
ID_41,44,13,5,2,6
ID_363,44,13,4,8,1
ID_138,44,13,4,6,3
ID_243,44,13,4,6,3
ID_206,44,13,4,6,3
ID_493,52,12,7,5,0
ID_9,52,12,7,1,4
ID_153,52,12,6,1,5
ID_450,52,12,5,7,0
ID_198,52,12,5,5,2
ID_99,52,12,5,5,2
ID_350,52,12,5,4,3
ID_204,52,12,5,3,4
ID_34,52,12,4,4,4
ID_150,52,12,4,4,4
ID_141,52,12,3,7,2
ID_240,52,12,3,7,2
ID_117,52,12,3,4,5
ID_197,52,12,3,3,6
ID_46,52,12,2,8,2
ID_199,52,12,2,5,5
ID_32,52,12,1,6,5
ID_312,69,11,5,3,3
ID_186,69,11,4,6,1
ID_70,69,11,4,3,4
ID_318,69,11,4,3,4
ID_397,69,11,4,3,4
ID_401,69,11,4,2,5
ID_382,69,11,3,6,2
ID_177,69,11,3,5,3
ID_183,69,11,2,5,4
ID_71,69,11,1,8,2
ID_114,69,11,1,4,6
ID_189,80,10,5,2,3
ID_457,80,10,5,0,5
ID_422,80,10,4,5,1
ID_218,80,10,3,7,0
ID_83,80,10,3,6,1
ID_361,80,10,3,6,1
ID_42,80,10,3,4,3
ID_276,80,10,3,3,4
ID_263,80,10,3,2,5
ID_242,80,10,3,0,7
ID_80,80,10,2,7,1
ID_319,80,10,2,7,1
ID_8,80,10,2,6,2
ID_84,80,10,2,5,3
ID_447,80,10,2,5,3
ID_329,80,10,2,4,4
ID_360,80,10,2,4,4
ID_234,80,10,1,5,4
ID_347,98,9,7,1,1
ID_95,98,9,5,2,2
ID_5,98,9,4,5,0
ID_151,98,9,4,4,1
ID_525,98,9,4,4,1
ID_378,98,9,4,1,4
ID_36,98,9,3,6,0
ID_57,98,9,3,4,2
ID_303,98,9,3,4,2
ID_107,98,9,3,3,3
ID_93,98,9,3,2,4
ID_327,98,9,2,4,3
ID_217,98,9,2,4,3
ID_94,98,9,1,4,4
ID_11,98,9,0,4,5
ID_396,113,8,6,1,1
ID_208,113,8,5,2,1
ID_345,113,8,5,2,1
ID_292,113,8,4,2,2
ID_561,113,8,4,2,2
ID_433,113,8,3,4,1
ID_188,113,8,3,2,3
ID_357,113,8,2,6,0
ID_353,113,8,2,5,1
ID_307,113,8,2,5,1
ID_467,113,8,2,5,1
ID_142,113,8,2,4,2
ID_178,113,8,2,4,2
ID_442,113,8,2,4,2
ID_96,113,8,2,2,4
ID_502,113,8,1,6,1
ID_175,113,8,0,6,2
ID_383,130,7,6,1,0
ID_356,130,7,5,1,1
ID_407,130,7,5,1,1
ID_66,130,7,4,2,1
ID_223,130,7,4,2,1
ID_47,130,7,4,1,2
ID_221,130,7,3,4,0
ID_316,130,7,3,3,1
ID_211,130,7,3,2,2
ID_417,130,7,3,2,2
ID_376,130,7,3,1,3
ID_409,130,7,3,0,4
ID_148,130,7,2,4,1
ID_161,130,7,2,4,1
ID_155,130,7,2,4,1
ID_62,130,7,2,3,2
ID_228,130,7,2,3,2
ID_205,130,7,1,5,1
ID_209,130,7,1,5,1
ID_299,130,7,1,4,2
ID_379,130,7,1,4,2
ID_81,130,7,1,2,4
ID_212,130,7,0,7,0
ID_369,153,6,6,0,0
ID_202,153,6,4,0,2
ID_461,153,6,3,3,0
ID_31,153,6,3,1,2
ID_492,153,6,3,1,2
ID_85,153,6,2,4,0
ID_331,153,6,2,4,0
ID_33,153,6,2,3,1
ID_413,153,6,2,2,2
ID_230,153,6,2,1,3
ID_421,153,6,2,1,3
ID_149,153,6,1,5,0
ID_517,153,6,1,5,0
ID_137,153,6,1,4,1
ID_113,153,6,1,4,1
ID_144,153,6,1,4,1
ID_236,153,6,1,4,1
ID_416,153,6,1,3,2
ID_480,153,6,1,1,4
ID_434,153,6,1,1,4
ID_279,153,6,0,6,0
ID_244,153,6,0,4,2
ID_400,153,6,0,3,3
ID_207,153,6,0,2,4
ID_69,153,6,0,1,5
ID_192,153,6,0,1,5
ID_508,179,5,4,1,0
ID_439,179,5,3,2,0
ID_310,179,5,3,1,1
ID_300,179,5,3,1,1
ID_459,179,5,3,1,1
ID_16,179,5,3,0,2
ID_7,179,5,2,3,0
ID_535,179,5,2,3,0
ID_29,179,5,2,2,1
ID_35,179,5,2,2,1
ID_222,179,5,2,2,1
ID_277,179,5,2,2,1
ID_251,179,5,2,2,1
ID_348,179,5,2,2,1
ID_445,179,5,2,2,1
ID_444,179,5,2,1,2
ID_91,179,5,2,1,2
ID_56,179,5,1,4,0
ID_78,179,5,1,4,0
ID_339,179,5,1,3,1
ID_156,179,5,1,3,1
ID_288,179,5,1,3,1
ID_287,179,5,1,3,1
ID_373,179,5,1,3,1
ID_28,179,5,1,2,2
ID_268,179,5,1,2,2
ID_275,179,5,1,2,2
ID_547,179,5,1,2,2
ID_6,179,5,1,1,3
ID_118,179,5,1,1,3
ID_380,179,5,1,1,3
ID_132,179,5,0,4,1
ID_343,179,5,0,4,1
ID_556,179,5,0,4,1
ID_194,179,5,0,3,2
ID_267,179,5,0,3,2
ID_229,179,5,0,2,3
ID_451,179,5,0,2,3
ID_278,179,5,0,2,3
ID_489,179,5,0,2,3
ID_516,219,4,4,0,0
ID_438,219,4,4,0,0
ID_219,219,4,3,1,0
ID_520,219,4,3,1,0
ID_111,219,4,3,0,1
ID_323,219,4,3,0,1
ID_272,219,4,3,0,1
ID_280,219,4,2,2,0
ID_304,219,4,2,2,0
ID_485,219,4,2,2,0
ID_462,219,4,2,2,0
ID_539,219,4,2,2,0
ID_227,219,4,2,1,1
ID_146,219,4,2,1,1
ID_143,219,4,2,1,1
ID_180,219,4,2,1,1
ID_341,219,4,2,1,1
ID_415,219,4,2,1,1
ID_488,219,4,2,1,1
ID_639,219,4,2,1,1
ID_465,219,4,2,0,2
ID_325,219,4,2,0,2
ID_471,219,4,2,0,2
ID_54,219,4,1,3,0
ID_76,219,4,1,3,0
ID_176,219,4,1,3,0
ID_377,219,4,1,3,0
ID_531,219,4,1,3,0
ID_336,219,4,1,3,0
ID_663,219,4,1,3,0
ID_181,219,4,1,2,1
ID_381,219,4,1,2,1
ID_305,219,4,1,2,1
ID_298,219,4,1,2,1
ID_389,219,4,1,2,1
ID_358,219,4,1,2,1
ID_580,219,4,1,2,1
ID_463,219,4,1,2,1
ID_569,219,4,1,2,1
ID_17,219,4,1,2,1
ID_266,219,4,1,1,2
ID_494,219,4,1,1,2
ID_545,219,4,1,1,2
ID_106,219,4,1,0,3
ID_478,219,4,1,0,3
ID_235,219,4,1,0,3
ID_130,219,4,0,4,0
ID_126,219,4,0,3,1
ID_273,219,4,0,3,1
ID_306,219,4,0,3,1
ID_309,219,4,0,3,1
ID_65,219,4,0,2,2
ID_352,219,4,0,2,2
ID_364,219,4,0,2,2
ID_284,219,4,0,2,2
ID_582,219,4,0,2,2
ID_551,219,4,0,2,2
ID_484,219,4,0,1,3
ID_98,277,3,3,0,0
ID_241,277,3,3,0,0
ID_19,277,3,3,0,0
ID_419,277,3,2,1,0
ID_239,277,3,2,1,0
ID_392,277,3,2,1,0
ID_486,277,3,2,1,0
ID_290,277,3,2,1,0
ID_326,277,3,2,1,0
ID_570,277,3,2,1,0
ID_540,277,3,2,1,0
ID_586,277,3,2,1,0
ID_129,277,3,2,0,1
ID_296,277,3,2,0,1
ID_374,277,3,2,0,1
ID_375,277,3,2,0,1
ID_157,277,3,1,2,0
ID_420,277,3,1,2,0
ID_179,277,3,1,2,0
ID_291,277,3,1,2,0
ID_473,277,3,1,2,0
ID_526,277,3,1,2,0
ID_519,277,3,1,2,0
ID_472,277,3,1,2,0
ID_716,277,3,1,2,0
ID_68,277,3,1,1,1
ID_391,277,3,1,1,1
ID_195,277,3,1,1,1
ID_557,277,3,1,1,1
ID_246,277,3,1,1,1
ID_522,277,3,1,1,1
ID_591,277,3,1,1,1
ID_466,277,3,1,1,1
ID_448,277,3,1,1,1
ID_665,277,3,1,1,1
ID_48,277,3,1,1,1
ID_594,277,3,1,1,1
ID_719,277,3,1,1,1
ID_92,277,3,1,0,2
ID_537,277,3,1,0,2
ID_454,277,3,1,0,2
ID_656,277,3,1,0,2
ID_642,277,3,1,0,2
ID_102,277,3,0,3,0
ID_200,277,3,0,3,0
ID_231,277,3,0,3,0
ID_166,277,3,0,3,0
ID_332,277,3,0,3,0
ID_255,277,3,0,3,0
ID_344,277,3,0,3,0
ID_340,277,3,0,3,0
ID_530,277,3,0,3,0
ID_620,277,3,0,3,0
ID_440,277,3,0,3,0
ID_105,277,3,0,2,1
ID_87,277,3,0,2,1
ID_283,277,3,0,2,1
ID_274,277,3,0,2,1
ID_247,277,3,0,2,1
ID_269,277,3,0,2,1
ID_534,277,3,0,2,1
ID_410,277,3,0,2,1
ID_399,277,3,0,2,1
ID_552,277,3,0,2,1
ID_627,277,3,0,2,1
ID_403,277,3,0,1,2
ID_544,277,3,0,1,2
ID_598,277,3,0,1,2
ID_455,277,3,0,0,3
ID_441,277,3,0,0,3
ID_135,347,2,2,0,0
ID_328,347,2,2,0,0
ID_191,347,2,2,0,0
ID_372,347,2,2,0,0
ID_346,347,2,2,0,0
ID_405,347,2,2,0,0
ID_483,347,2,2,0,0
ID_395,347,2,2,0,0
ID_573,347,2,2,0,0
ID_670,347,2,2,0,0
ID_572,347,2,2,0,0
ID_97,347,2,1,1,0
ID_477,347,2,1,1,0
ID_190,347,2,1,1,0
ID_398,347,2,1,1,0
ID_541,347,2,1,1,0
ID_351,347,2,1,1,0
ID_311,347,2,1,1,0
ID_546,347,2,1,1,0
ID_479,347,2,1,1,0
ID_249,347,2,1,1,0
ID_558,347,2,1,1,0
ID_394,347,2,1,1,0
ID_355,347,2,1,1,0
ID_585,347,2,1,1,0
ID_655,347,2,1,1,0
ID_645,347,2,1,1,0
ID_590,347,2,1,1,0
ID_426,347,2,1,1,0
ID_593,347,2,1,1,0
ID_75,347,2,1,0,1
ID_45,347,2,1,0,1
ID_140,347,2,1,0,1
ID_164,347,2,1,0,1
ID_293,347,2,1,0,1
ID_317,347,2,1,0,1
ID_324,347,2,1,0,1
ID_354,347,2,1,0,1
ID_366,347,2,1,0,1
ID_646,347,2,1,0,1
ID_15,347,2,0,2,0
ID_10,347,2,0,2,0
ID_145,347,2,0,2,0
ID_334,347,2,0,2,0
ID_436,347,2,0,2,0
ID_158,347,2,0,2,0
ID_163,347,2,0,2,0
ID_320,347,2,0,2,0
ID_574,347,2,0,2,0
ID_476,347,2,0,2,0
ID_44,347,2,0,2,0
ID_337,347,2,0,2,0
ID_453,347,2,0,2,0
ID_664,347,2,0,2,0
ID_367,347,2,0,2,0
ID_424,347,2,0,2,0
ID_563,347,2,0,2,0
ID_549,347,2,0,2,0
ID_491,347,2,0,2,0
ID_571,347,2,0,2,0
ID_548,347,2,0,2,0
ID_623,347,2,0,2,0
ID_58,347,2,0,1,1
ID_446,347,2,0,1,1
ID_109,347,2,0,1,1
ID_321,347,2,0,1,1
ID_160,347,2,0,1,1
ID_365,347,2,0,1,1
ID_286,347,2,0,1,1
ID_225,347,2,0,1,1
ID_220,347,2,0,1,1
ID_565,347,2,0,1,1
ID_253,347,2,0,1,1
ID_635,347,2,0,1,1
ID_256,347,2,0,1,1
ID_252,347,2,0,1,1
ID_254,347,2,0,1,1
ID_496,347,2,0,1,1
ID_538,347,2,0,1,1
ID_458,347,2,0,1,1
ID_456,347,2,0,1,1
ID_507,347,2,0,1,1
ID_654,347,2,0,1,1
ID_554,347,2,0,1,1
ID_524,347,2,0,1,1
ID_18,347,2,0,1,1
ID_588,347,2,0,1,1
ID_621,347,2,0,1,1
ID_695,347,2,0,1,1
ID_301,347,2,0,0,2
ID_437,347,2,0,0,2
ID_248,347,2,0,0,2
ID_652,347,2,0,0,2
ID_215,440,1,1,0,0
ID_43,440,1,1,0,0
ID_464,440,1,1,0,0
ID_203,440,1,1,0,0
ID_224,440,1,1,0,0
ID_412,440,1,1,0,0
ID_233,440,1,1,0,0
ID_630,440,1,1,0,0
ID_581,440,1,1,0,0
ID_504,440,1,1,0,0
ID_362,440,1,1,0,0
ID_672,440,1,1,0,0
ID_404,440,1,1,0,0
ID_393,440,1,1,0,0
ID_490,440,1,1,0,0
ID_406,440,1,1,0,0
ID_533,440,1,1,0,0
ID_527,440,1,1,0,0
ID_518,440,1,1,0,0
ID_661,440,1,1,0,0
ID_576,440,1,1,0,0
ID_509,440,1,1,0,0
ID_587,440,1,1,0,0
ID_622,440,1,1,0,0
ID_510,440,1,1,0,0
ID_657,440,1,1,0,0
ID_684,440,1,1,0,0
ID_678,440,1,1,0,0
ID_711,440,1,1,0,0
ID_12,440,1,0,1,0
ID_104,440,1,0,1,0
ID_90,440,1,0,1,0
ID_498,440,1,0,1,0
ID_147,440,1,0,1,0
ID_182,440,1,0,1,0
ID_232,440,1,0,1,0
ID_216,440,1,0,1,0
ID_165,440,1,0,1,0
ID_245,440,1,0,1,0
ID_315,440,1,0,1,0
ID_213,440,1,0,1,0
ID_371,440,1,0,1,0
ID_335,440,1,0,1,0
ID_302,440,1,0,1,0
ID_250,440,1,0,1,0
ID_384,440,1,0,1,0
ID_313,440,1,0,1,0
ID_308,440,1,0,1,0
ID_562,440,1,0,1,0
ID_282,440,1,0,1,0
ID_387,440,1,0,1,0
ID_402,440,1,0,1,0
ID_506,440,1,0,1,0
ID_559,440,1,0,1,0
ID_468,440,1,0,1,0
ID_385,440,1,0,1,0
ID_418,440,1,0,1,0
ID_636,440,1,0,1,0
ID_469,440,1,0,1,0
ID_596,440,1,0,1,0
ID_528,440,1,0,1,0
ID_693,440,1,0,1,0
ID_553,440,1,0,1,0
ID_578,440,1,0,1,0
ID_667,440,1,0,1,0
ID_542,440,1,0,1,0
ID_505,440,1,0,1,0
ID_423,440,1,0,1,0
ID_536,440,1,0,1,0
ID_697,440,1,0,1,0
ID_698,440,1,0,1,0
ID_683,440,1,0,1,0
ID_626,440,1,0,1,0
ID_600,440,1,0,1,0
ID_543,440,1,0,1,0
ID_607,440,1,0,1,0
ID_734,440,1,0,1,0
ID_20,440,1,0,1,0
ID_605,440,1,0,1,0
ID_689,440,1,0,1,0
ID_606,440,1,0,1,0
ID_112,440,1,0,0,1
ID_414,440,1,0,0,1
ID_124,440,1,0,0,1
ID_289,440,1,0,0,1
ID_162,440,1,0,0,1
ID_644,440,1,0,0,1
ID_550,440,1,0,0,1
ID_449,440,1,0,0,1
ID_499,440,1,0,0,1
ID_651,440,1,0,0,1
ID_666,440,1,0,0,1
ID_495,440,1,0,0,1
ID_425,440,1,0,0,1
ID_688,440,1,0,0,1
ID_619,440,1,0,0,1
ID_674,440,1,0,0,1
ID_653,440,1,0,0,1
ID_736,440,1,0,0,1
ID_640,440,1,0,0,1
ID_730,440,1,0,0,1
ID_725,440,1,0,0,1
ID_602,440,1,0,0,1
ID_723,440,1,0,0,1
ID_679,440,1,0,0,1
ID_707,440,1,0,0,1
