id_player,minutes_played,match_played,goals,assists,distance_covered
ID_1,1230,13,0,0,64.2
ID_2,1199,13,4,6,133.0
ID_3,1106,12,15,1,121.5
ID_4,1077,13,0,4,124.5
ID_5,1076,12,0,0,110.4
ID_6,1040,12,1,0,112.3
ID_7,959,11,0,1,112.8
ID_8,914,11,0,0,107.6
ID_9,902,12,2,0,116.5
ID_10,867,10,0,2,96.3
ID_11,804,11,0,1,96.7
ID_12,574,9,0,0,61.9
ID_13,505,11,5,2,65.7
ID_14,349,8,0,1,47.4
ID_15,296,10,0,1,40.2
ID_16,207,8,1,2,28.4
ID_17,113,3,0,0,12.9
ID_18,93,3,0,0,10.7
ID_19,84,3,0,0,10.8
ID_20,66,1,0,0,7.7
ID_21,37,5,0,0,7.8
ID_22,12,1,0,0,1.6
ID_23,8,2,0,0,1.5
ID_24,7,2,0,0,2.2
ID_25,6,1,0,0,1.3
ID_26,1170,13,0,0,68.8
ID_27,1008,13,8,2,112.0
ID_28,849,13,1,0,105.5
ID_29,826,10,0,2,97.7
ID_30,822,13,5,1,100.3
ID_31,810,9,0,1,82.8
ID_32,794,9,0,4,86.8
ID_33,720,8,2,0,78.5
ID_34,666,12,1,2,85.7
ID_35,630,7,0,0,66.2
ID_36,604,10,1,0,77.9
ID_37,578,11,1,1,73.9
ID_38,487,10,1,2,61.5
ID_39,385,7,2,1,49.9
ID_40,344,5,0,2,42.7
ID_41,323,7,5,0,43.0
ID_42,300,6,0,1,38.6
ID_43,245,7,0,0,30.4
ID_44,215,4,0,0,29.7
ID_45,211,8,0,1,32.0
ID_46,187,7,1,1,23.8
ID_47,185,4,0,2,27.1
ID_48,180,3,0,0,23.5
ID_49,180,2,0,0,23.5
ID_50,91,2,0,0,11.2
ID_51,59,1,0,0,7.9
ID_52,1,1,0,0,0.4
ID_53,1,1,0,0,0.4
ID_54,1080,12,1,0,124.2
ID_55,1080,12,0,0,61.2
ID_56,1055,12,1,3,130.9
ID_57,1046,12,2,4,130.9
ID_58,1045,12,0,0,115.7
ID_59,1003,11,0,0,51.6
ID_60,986,12,7,2,120.1
ID_61,906,11,6,2,107.8
ID_62,900,10,0,1,97.9
ID_63,900,10,0,0,55.4
ID_64,900,10,0,0,52.7
ID_65,891,10,0,0,98.7
ID_66,878,11,3,3,120.3
ID_67,876,10,13,3,99.7
ID_68,863,10,0,3,107.7
ID_69,842,10,0,0,114.6
ID_70,840,9,2,3,100.3
ID_71,840,9,1,0,88.4
ID_72,840,9,0,0,57.4
ID_73,816,10,0,0,88.8
ID_74,810,9,0,1,51.2
ID_75,810,9,0,0,112
ID_76,810,9,0,0,91.2
ID_77,798,10,6,6,94
ID_78,794,9,0,0,90.9
ID_79,778,10,4,3,98.5
ID_80,764,10,0,1,96.7
ID_81,757,9,0,1,71.7
ID_82,734,10,2,4,95.5
ID_83,720,8,1,0,85.1
ID_84,720,8,0,1,85.5
ID_85,720,8,0,1,83.3
ID_86,720,8,0,1,78.5
ID_87,720,8,0,0,81.3
ID_88,720,8,0,0,43.8
ID_89,720,8,0,0,32
ID_90,718,8,0,0,85.3
ID_91,716,8,0,0,84.2
ID_92,715,9,1,0,85.7
ID_93,715,8,0,2,103.5
ID_94,704,9,1,1,85.7
ID_95,703,8,0,1,89.1
ID_96,702,8,0,0,96.4
ID_97,700,9,0,0,83.6
ID_98,679,9,1,1,82
ID_99,679,8,3,0,86.1
ID_100,673,8,6,4,65.2
ID_101,672,9,3,0,86.3
ID_102,672,8,0,0,80.9
ID_103,668,8,11,1,82.2
ID_104,666,8,0,0,76.6
ID_105,665,9,0,1,91.2
ID_106,664,8,0,0,83.1
ID_107,661,8,0,2,81.5
ID_108,660,10,0,2,86.4
ID_109,660,8,0,0,82.3
ID_110,658,11,3,2,89.1
ID_111,649,8,0,1,85.3
ID_112,645,10,0,0,76.4
ID_113,637,8,0,0,73.2
ID_114,635,8,1,0,89.3
ID_115,632,9,2,3,76.3
ID_116,630,7,5,0,58.7
ID_117,630,7,2,2,78.9
ID_118,630,7,0,0,80
ID_119,630,7,0,0,64.4
ID_120,630,7,0,0,36.3
ID_121,630,7,0,0,31.4
ID_122,630,7,0,0,26.4
ID_123,628,8,3,1,79.8
ID_124,627,7,0,0,71.5
ID_125,613,10,6,0,72.4
ID_126,611,8,0,0,75.3
ID_127,611,7,6,0,59.2
ID_128,607,8,3,1,69.2
ID_129,603,8,1,1,62.6
ID_130,591,7,0,1,71.3
ID_131,587,8,1,0,67.4
ID_132,585,7,0,0,63.3
ID_133,582,8,3,1,68.2
ID_134,581,12,3,2,71.1
ID_135,581,8,0,0,62.2
ID_136,580,7,0,0,60.6
ID_137,578,9,0,0,71.3
ID_138,577,9,1,0,74.5
ID_139,577,7,2,5,65.1
ID_140,577,7,1,0,64.1
ID_141,573,8,1,1,68.5
ID_142,573,7,1,0,66.5
ID_143,572,8,1,1,70.9
ID_144,572,8,0,0,69.4
ID_145,570,8,0,0,64.9
ID_146,561,8,2,2,68.7
ID_147,561,7,0,1,60.7
ID_148,558,7,0,0,73
ID_149,553,7,1,0,69
ID_150,548,8,0,0,68.9
ID_151,543,9,0,0,67.1
ID_152,541,7,3,1,64.6
ID_153,540,6,3,1,69.4
ID_154,540,6,2,1,76.8
ID_155,540,6,2,0,50.9
ID_156,540,6,0,3,67.3
ID_157,540,6,0,3,63.2
ID_158,540,6,0,0,67.1
ID_159,540,6,0,0,66.6
ID_160,540,6,0,0,64.6
ID_161,540,6,0,0,64.5
ID_162,540,6,0,0,61.5
ID_163,540,6,0,0,61.3
ID_164,540,6,0,0,61
ID_165,540,6,0,0,53.3
ID_166,540,6,0,0,53
ID_167,540,6,0,0,37.2
ID_168,540,6,0,0,35.4
ID_169,540,6,0,0,33.2
ID_170,540,6,0,0,32.7
ID_171,540,6,0,0,32.7
ID_172,540,6,0,0,31.9
ID_173,540,6,0,0,31.7
ID_174,540,6,0,0,29
ID_175,539,7,0,0,69.8
ID_176,539,6,0,0,58.7
ID_177,538,7,1,2,60.3
ID_178,536,7,0,0,67.6
ID_179,536,6,0,0,69.1
ID_180,534,6,1,0,49.3
ID_181,534,6,0,0,66.4
ID_182,533,7,0,0,60.5
ID_183,532,6,1,1,57.2
ID_184,531,8,0,1,65.5
ID_185,531,6,7,0,62.8
ID_186,530,6,2,1,64.4
ID_187,529,7,3,0,56.2
ID_188,529,7,1,0,60.9
ID_189,528,6,0,1,68.9
ID_190,528,6,0,0,59.9
ID_191,526,6,1,1,71.6
ID_192,525,6,0,0,64.4
ID_193,524,7,2,4,65.7
ID_194,524,6,0,0,68.4
ID_195,523,6,0,0,69
ID_196,520,7,2,0,60.2
ID_197,520,7,0,7,58.4
ID_198,518,9,4,2,64.3
ID_199,516,8,1,0,65.4
ID_200,515,7,0,0,61.4
ID_201,514,10,3,0,66.5
ID_202,510,8,2,0,66.6
ID_203,509,6,0,2,64.3
ID_204,505,6,1,0,54.6
ID_205,504,6,0,1,53.9
ID_206,503,6,1,3,62.3
ID_207,501,8,0,1,64.4
ID_208,500,6,0,1,58.5
ID_209,500,6,0,0,63
ID_210,499,6,3,1,62.7
ID_211,497,6,1,2,52.3
ID_212,496,6,0,0,65.4
ID_213,496,6,0,0,60.1
ID_214,494,6,1,1,60.6
ID_215,493,8,0,4,66
ID_216,491,6,0,0,59.7
ID_217,490,6,0,1,65.8
ID_218,489,6,1,0,49.1
ID_219,487,6,1,0,55.4
ID_220,487,6,0,0,63.9
ID_221,486,6,0,0,68.7
ID_222,484,6,1,1,57
ID_223,484,6,1,0,59.1
ID_224,484,6,0,1,65.6
ID_225,484,6,0,0,62.1
ID_226,484,6,0,0,56.8
ID_227,478,10,1,2,61.7
ID_228,477,7,0,2,61.4
ID_229,473,6,0,0,62.9
ID_230,472,7,0,0,60.1
ID_231,472,7,0,0,56.2
ID_232,472,7,0,0,51.4
ID_233,471,6,0,0,59.8
ID_234,468,6,0,1,55.6
ID_235,468,6,0,0,58.2
ID_236,467,7,0,1,60.2
ID_237,466,6,0,0,59.3
ID_238,464,6,3,3,50.1
ID_239,463,8,1,0,57.6
ID_240,463,6,1,1,50.6
ID_241,462,6,0,0,42.1
ID_242,461,7,1,1,57.1
ID_243,460,6,2,0,55.8
ID_244,450,6,0,0,53.8
ID_245,450,6,0,0,49.2
ID_246,450,5,1,1,50.5
ID_247,450,5,0,1,51.4
ID_248,450,5,0,1,49.9
ID_249,450,5,0,0,56.4
ID_250,450,5,0,0,54
ID_251,450,5,0,0,53.2
ID_252,450,5,0,0,51.6
ID_253,450,5,0,0,50.6
ID_254,450,5,0,0,49.1
ID_255,450,5,0,0,48.8
ID_256,450,5,0,0,46.5
ID_257,450,5,0,0,30.8
ID_258,450,5,0,0,29.3
ID_259,450,5,0,0,27.5
ID_260,450,5,0,0,27.2
ID_261,450,5,0,0,25.6
ID_262,450,5,0,0,22.7
ID_263,448,8,1,1,59
ID_264,448,5,0,0,49.9
ID_265,446,9,1,2,53.5
ID_266,444,6,0,0,57.3
ID_267,444,5,0,2,50.5
ID_268,444,5,0,0,50.8
ID_269,442,5,0,0,55.5
ID_270,438,5,0,0,53
ID_271,437,5,0,0,48.3
ID_272,436,5,0,0,58.5
ID_273,435,7,0,0,54.1
ID_274,435,5,0,1,56.4
ID_275,435,5,0,0,40.2
ID_276,434,6,0,1,48.6
ID_277,433,6,0,0,43.4
ID_278,432,5,0,3,50.7
ID_279,431,10,0,1,55.3
ID_280,431,7,1,0,54.7
ID_281,431,5,0,0,55.7
ID_282,429,5,0,0,50.5
ID_283,427,6,0,1,52.2
ID_284,426,6,0,0,50.3
ID_285,426,5,0,0,37.8
ID_286,425,6,0,0,47.7
ID_287,420,5,0,0,44.5
ID_288,419,6,0,0,55.2
ID_289,419,6,0,0,45.9
ID_290,418,5,1,0,45.4
ID_291,418,5,0,0,47.4
ID_292,417,6,2,0,53.9
ID_293,413,6,1,0,48.6
ID_294,413,5,0,0,46.3
ID_295,410,6,3,2,47.2
ID_296,409,7,1,2,53.2
ID_297,407,5,0,0,50.7
ID_298,407,5,0,0,49.2
ID_299,405,6,0,1,51
ID_300,405,6,0,1,49.1
ID_301,405,6,0,0,49.3
ID_302,405,5,0,0,46.8
ID_303,401,10,1,0,49.6
ID_304,400,7,1,0,48.1
ID_305,400,5,0,0,53.8
ID_306,398,6,0,0,54.1
ID_307,398,5,0,0,49.4
ID_308,397,5,0,2,36.6
ID_309,395,5,0,0,51.8
ID_310,393,7,1,0,42
ID_311,393,5,1,0,44
ID_312,392,6,3,0,43.7
ID_313,392,5,0,0,44.7
ID_314,391,8,3,2,46.7
ID_315,389,6,0,0,45.9
ID_316,388,6,0,0,51.9
ID_317,386,6,1,1,38.8
ID_318,385,6,2,2,48.2
ID_319,383,5,0,0,43.5
ID_320,382,5,0,1,48.7
ID_321,380,8,0,2,48.8
ID_322,379,5,0,0,43.2
ID_323,377,8,0,1,48.9
ID_324,376,6,0,0,47.1
ID_325,375,6,0,0,49
ID_326,375,5,0,1,45.8
ID_327,373,6,0,0,44.5
ID_328,370,6,1,0,42.2
ID_329,369,7,1,1,52.1
ID_330,368,6,0,0,38.6
ID_331,367,7,2,1,47.3
ID_332,367,5,0,0,36.4
ID_333,366,5,0,0,44.4
ID_334,362,7,0,0,40.6
ID_335,362,6,0,0,41.6
ID_336,360,4,0,0,45.2
ID_337,360,4,0,0,43
ID_338,360,4,0,0,19.5
ID_339,358,8,0,1,44.2
ID_340,358,5,0,0,41.2
ID_341,357,5,0,0,45.5
ID_342,357,5,0,0,42.2
ID_343,356,6,0,1,44.6
ID_344,355,5,0,0,44.8
ID_345,354,5,1,0,40.2
ID_346,353,5,0,0,34.2
ID_347,352,8,4,1,41.9
ID_348,351,5,1,1,43.9
ID_349,351,4,0,0,39.3
ID_350,350,5,2,0,34.8
ID_351,349,5,0,0,39.8
ID_352,347,8,0,2,44.7
ID_353,347,7,1,0,38.7
ID_354,347,6,0,0,30.9
ID_355,347,4,0,0,30.5
ID_356,345,6,3,0,40
ID_357,345,5,1,0,38.3
ID_358,345,4,0,0,40.4
ID_359,343,9,0,0,45.2
ID_360,343,4,0,0,40.9
ID_361,341,6,2,0,35.6
ID_362,337,4,0,0,41.5
ID_363,336,4,2,0,37.5
ID_364,334,6,0,0,41.5
ID_365,333,6,0,0,44.4
ID_366,332,4,0,0,40
ID_367,331,4,0,1,39.1
ID_368,331,4,0,0,36.3
ID_369,330,9,1,0,42.9
ID_370,329,5,4,2,41.3
ID_371,328,6,0,0,38.6
ID_372,328,5,0,0,38.9
ID_373,328,4,0,0,41.9
ID_374,327,6,1,0,43.3
ID_375,326,6,1,0,44.3
ID_376,325,6,1,0,42.7
ID_377,324,6,1,0,36.9
ID_378,322,5,2,0,42
ID_379,322,5,0,0,42.3
ID_380,322,5,0,0,36.7
ID_381,321,5,0,1,41.2
ID_382,320,6,2,0,31.5
ID_383,320,6,0,1,40.9
ID_384,315,5,0,0,36.9
ID_385,315,4,0,0,38.5
ID_386,315,4,0,0,35.6
ID_387,315,4,0,0,34.7
ID_388,315,4,0,0,14.2
ID_389,313,4,0,0,34.9
ID_390,313,4,0,0,33
ID_391,312,6,0,0,38.5
ID_392,309,7,1,0,41.7
ID_393,306,4,1,0,34.6
ID_394,304,5,0,0,36.9
ID_395,304,4,1,1,38.1
ID_396,303,5,2,1,30.3
ID_397,301,5,1,0,38.5
ID_398,300,6,1,0,39.7
ID_399,299,4,0,1,38.3
ID_400,298,5,0,0,38.4
ID_401,297,5,1,2,35.3
ID_402,297,4,0,0,32
ID_403,296,6,0,0,35.9
ID_404,294,4,1,1,32.4
ID_405,293,4,1,0,34.3
ID_406,293,4,1,0,33.5
ID_407,292,5,0,2,36.3
ID_408,292,5,0,0,38.9
ID_409,289,5,1,2,32.3
ID_410,289,4,0,0,36.8
ID_411,286,4,0,1,33.3
ID_412,284,6,0,0,34.5
ID_413,283,7,0,0,36.3
ID_414,281,7,0,0,36.9
ID_415,281,5,0,0,32.5
ID_416,277,6,0,1,31.2
ID_417,276,5,2,1,36.4
ID_418,275,4,0,0,32
ID_419,273,9,2,0,37
ID_420,273,6,0,0,35.9
ID_421,272,6,1,1,38.7
ID_422,271,6,1,1,36.4
ID_423,270,3,0,0,35.8
ID_424,270,3,0,0,30.2
ID_425,270,3,0,0,30.1
ID_426,270,3,0,0,28.6
ID_427,270,3,0,0,20.5
ID_428,270,3,0,0,18.6
ID_429,270,3,0,0,18.3
ID_430,270,3,0,0,15.5
ID_431,270,3,0,0,13.7
ID_432,270,3,0,0,12.2
ID_433,269,3,0,0,23.3
ID_434,268,4,0,1,37.1
ID_435,266,3,0,0,14.2
ID_436,264,6,0,0,35.2
ID_437,264,5,0,0,33.7
ID_438,261,5,2,0,31.6
ID_439,261,5,0,0,29
ID_440,261,3,0,2,32.7
ID_441,261,3,0,0,29.6
ID_442,260,5,0,1,32.1
ID_443,260,5,0,0,31.5
ID_444,258,8,1,0,33.3
ID_445,258,5,2,0,31.1
ID_446,257,8,0,0,34.9
ID_447,257,5,1,0,29.5
ID_448,257,4,1,0,31.7
ID_449,256,5,0,0,36.1
ID_450,255,5,3,1,30.6
ID_451,255,5,0,0,29.4
ID_452,253,3,0,0,29.9
ID_453,252,4,0,0,30.6
ID_454,249,4,1,1,29.3
ID_455,247,4,0,0,33.6
ID_456,247,4,0,0,29.7
ID_457,246,5,4,2,29.8
ID_458,243,4,0,0,29.1
ID_459,240,5,1,0,28.5
ID_460,236,5,0,0,29.6
ID_461,234,6,0,0,32.1
ID_462,234,4,0,1,31.3
ID_463,233,3,0,0,21
ID_464,232,7,1,1,33.6
ID_465,231,8,1,0,32.6
ID_466,230,4,0,0,30.2
ID_467,228,4,0,0,25.2
ID_468,226,4,0,0,30.1
ID_469,225,4,0,0,30.6
ID_470,225,3,0,0,11.1
ID_471,222,6,0,1,32
ID_472,222,3,1,0,27.8
ID_473,220,5,1,1,30
ID_474,220,3,0,0,27
ID_475,219,5,0,0,27.2
ID_476,219,4,0,0,28.3
ID_477,218,7,1,0,28.9
ID_478,218,6,0,0,31.1
ID_479,216,5,0,1,26.6
ID_480,212,4,0,2,28.2
ID_481,212,4,0,0,28
ID_482,212,4,0,0,25.4
ID_483,211,4,1,0,29.4
ID_484,210,5,0,1,28.9
ID_485,209,4,2,0,26.9
ID_486,206,6,0,0,25.4
ID_487,205,4,0,0,29.6
ID_488,205,3,1,0,27.9
ID_489,204,4,0,0,26.4
ID_490,204,4,0,0,23.5
ID_491,204,3,0,0,22.3
ID_492,203,5,1,0,24
ID_493,203,3,3,0,22.3
ID_494,201,4,1,1,28.3
ID_495,200,4,0,0,28.1
ID_496,196,5,0,0,25.1
ID_497,195,4,0,1,24.5
ID_498,194,8,0,0,24.6
ID_499,192,5,0,1,25.8
ID_500,192,3,0,1,23.5
ID_501,189,3,0,0,19.8
ID_502,188,4,0,0,23.3
ID_503,187,3,0,0,22
ID_504,186,4,0,0,24.9
ID_505,184,3,0,0,18.6
ID_506,182,4,0,0,24.4
ID_507,182,3,0,0,23.1
ID_508,180,2,1,0,20.9
ID_509,180,2,1,0,19.6
ID_510,180,2,0,0,21.4
ID_511,180,2,0,0,19.1
ID_512,180,2,0,0,18.8
ID_513,180,2,0,0,11.1
ID_514,180,2,0,0,10.6
ID_515,180,2,0,0,8.4
ID_516,179,6,0,0,24.2
ID_517,179,3,0,0,22.3
ID_518,177,4,0,0,21.7
ID_519,175,3,1,0,20.4
ID_520,172,3,1,0,23
ID_521,171,4,0,0,20.2
ID_522,170,5,0,0,24.3
ID_523,170,5,0,0,20.6
ID_524,169,3,0,0,22
ID_525,168,6,1,0,20.6
ID_526,168,4,1,1,19.7
ID_527,168,4,0,0,25.8
ID_528,167,3,0,0,21.1
ID_529,165,2,0,0,17.9
ID_530,164,4,0,0,21.9
ID_531,162,5,0,0,22.1
ID_532,162,5,0,0,21.5
ID_533,160,4,0,0,22
ID_534,160,4,0,0,16.4
ID_535,159,5,0,0,23
ID_536,158,2,0,0,20.7
ID_537,157,6,0,0,21.2
ID_538,156,4,0,1,20.9
ID_539,156,4,0,0,19.9
ID_540,156,3,1,0,21.6
ID_541,155,6,1,1,19
ID_542,155,3,0,0,19.9
ID_543,155,2,0,0,18.7
ID_544,154,6,0,0,21.6
ID_545,154,3,1,0,19.7
ID_546,150,5,0,0,20.9
ID_547,147,4,0,1,18.8
ID_548,147,3,0,0,19.2
ID_549,146,3,0,1,14.4
ID_550,144,6,0,0,19.6
ID_551,142,5,0,0,18.3
ID_552,142,3,0,0,19
ID_553,139,3,0,1,16.6
ID_554,136,3,0,0,15.1
ID_555,135,2,0,0,15.3
ID_556,133,5,0,0,19.6
ID_557,131,5,0,0,18.9
ID_558,131,5,0,0,18
ID_559,131,4,0,0,16
ID_560,131,3,0,0,16.5
ID_561,130,5,1,0,16.9
ID_562,129,5,0,1,15.9
ID_563,126,3,0,0,16.7
ID_564,126,2,0,0,14.8
ID_565,125,5,0,0,17.3
ID_566,125,4,0,0,15.1
ID_567,124,4,0,0,18.9
ID_568,123,2,0,0,14.6
ID_569,122,3,0,0,14.8
ID_570,119,4,0,0,17.6
ID_571,119,3,0,0,15.6
ID_572,117,2,1,0,13
ID_573,116,4,0,1,14
ID_574,116,4,0,0,15.3
ID_575,115,5,0,0,14.3
ID_576,115,2,1,0,15.6
ID_577,114,6,0,0,15.6
ID_578,113,3,0,0,16
ID_579,109,5,0,0,15.4
ID_580,109,4,0,0,14.3
ID_581,106,5,0,0,14.8
ID_582,104,6,0,0,15.7
ID_583,104,2,0,0,14
ID_584,104,2,0,0,12.4
ID_585,101,3,0,0,12.8
ID_586,101,2,1,0,12.1
ID_587,101,2,0,0,10.5
ID_588,100,2,0,0,13.4
ID_589,100,2,0,0,11.9
ID_590,98,3,0,0,10.9
ID_591,97,5,1,0,14.6
ID_592,97,2,0,0,12.3
ID_593,96,3,0,0,13.2
ID_594,96,3,0,0,12.7
ID_595,94,2,0,0,12.9
ID_596,93,3,0,0,13.5
ID_597,93,2,0,0,10.8
ID_598,91,3,0,0,13.1
ID_599,91,2,0,0,11.6
ID_600,90,2,0,0,11.1
ID_601,90,1,0,0,11.8
ID_602,90,1,0,0,10.9
ID_603,90,1,0,0,10.8
ID_604,90,1,0,0,10.7
ID_605,90,1,0,0,10.2
ID_606,90,1,0,0,10.2
ID_607,90,1,0,0,9.5
ID_608,90,1,0,0,9.4
ID_609,90,1,0,0,6.2
ID_610,90,1,0,0,6
ID_611,90,1,0,0,5.7
ID_612,90,1,0,0,5.6
ID_613,90,1,0,0,5.4
ID_614,90,1,0,0,4.8
ID_615,90,1,0,0,4.7
ID_616,90,1,0,0,4.5
ID_617,90,1,0,0,4.3
ID_618,90,1,0,0,4
ID_619,89,2,0,0,12.4
ID_620,88,4,0,0,12.6
ID_621,88,2,0,1,10.9
ID_622,85,2,0,1,11
ID_623,84,2,0,0,11.8
ID_624,84,2,0,0,9.8
ID_625,83,5,0,0,13.6
ID_626,83,2,0,0,11.2
ID_627,83,2,0,0,10.2
ID_628,81,2,0,0,10.9
ID_629,81,2,0,0,10.8
ID_630,80,5,1,0,14.3
ID_631,80,3,0,0,11.1
ID_632,79,3,0,0,10.2
ID_633,79,3,0,0,9.8
ID_634,78,4,0,0,11.6
ID_635,75,5,0,0,10.1
ID_636,75,4,0,0,11.7
ID_637,75,4,0,0,11.2
ID_638,74,2,0,0,8.4
ID_639,73,3,1,0,10
ID_640,73,1,0,0,8.4
ID_641,71,5,0,0,13.8
ID_642,71,1,0,0,8.1
ID_643,70,4,0,0,8.3
ID_644,68,6,0,0,11.8
ID_645,68,3,0,0,8.6
ID_646,68,1,0,0,8.3
ID_647,68,1,0,0,4.4
ID_648,67,2,0,0,7.1
ID_649,66,5,0,0,11.6
ID_650,63,2,0,0,7.8
ID_651,60,4,0,0,9.4
ID_652,60,3,0,0,8.7
ID_653,60,2,0,0,7.6
ID_654,56,3,0,0,8.1
ID_655,56,3,0,0,8.1
ID_656,56,2,0,0,8.3
ID_657,56,1,0,0,6.9
ID_658,55,3,0,0,8.7
ID_659,54,2,0,0,8.7
ID_660,52,4,0,0,8.5
ID_661,52,3,0,0,7.2
ID_662,52,2,0,0,7.4
ID_663,52,2,0,0,6.4
ID_664,51,4,0,0,7.2
ID_665,49,4,1,0,6.7
ID_666,47,4,0,0,8.7
ID_667,47,3,0,0,6.5
ID_668,45,1,0,0,6.2
ID_669,45,1,0,0,5.3
ID_670,40,3,1,0,7
ID_671,39,5,0,0,8.3
ID_672,38,4,1,0,7.9
ID_673,38,3,0,0,6.6
ID_674,37,2,0,0,5.4
ID_675,36,2,0,0,6.6
ID_676,34,3,0,0,5.7
ID_677,33,2,0,1,4.8
ID_678,32,1,0,0,4
ID_679,31,1,0,0,3.9
ID_680,29,1,0,0,3.7
ID_681,26,2,0,0,3.7
ID_682,24,2,0,0,3.7
ID_683,24,2,0,0,3.5
ID_684,24,1,0,1,3.6
ID_685,23,3,0,0,4.5
ID_686,23,2,0,1,4.2
ID_687,23,1,0,0,3.1
ID_688,22,2,0,0,3.6
ID_689,22,1,0,0,3.8
ID_690,22,1,0,0,3.3
ID_691,22,1,0,0,1.9
ID_692,21,2,0,1,3.6
ID_693,20,3,0,0,5.1
ID_694,20,3,0,0,4.2
ID_695,20,1,0,0,3.2
ID_696,20,1,0,0,2.7
ID_697,19,2,0,0,4
ID_698,19,2,0,0,3.7
ID_699,18,2,0,0,3.6
ID_700,18,2,0,0,3.3
ID_701,17,1,0,0,2.4
ID_702,17,1,0,0,1.9
ID_703,17,1,0,0,1.1
ID_704,16,2,0,0,2.7
ID_705,15,2,0,0,3.6
ID_706,15,1,0,0,2.4
ID_707,15,1,0,0,1.9
ID_708,14,2,0,0,3.2
ID_709,14,2,0,0,3
ID_710,13,1,0,0,2
ID_711,11,1,1,0,2.2
ID_712,11,1,0,0,2
ID_713,11,1,0,0,1.7
ID_714,10,1,0,0,1.8
ID_715,10,1,0,0,1.6
ID_716,9,2,0,0,2.2
ID_717,9,1,0,0,2.1
ID_718,9,1,0,0,1.9
ID_719,9,1,0,0,1.8
ID_720,9,1,0,0,1.8
ID_721,9,1,0,0,1.8
ID_722,8,1,0,0,1.5
ID_723,8,1,0,0,1.3
ID_724,7,1,0,0,1.3
ID_725,7,1,0,0,1.2
ID_726,7,1,0,0,-
ID_727,6,1,0,0,1.2
ID_728,6,1,0,0,1.1
ID_729,5,1,0,0,1.1
ID_730,4,1,0,0,1.3
ID_731,4,1,0,0,1.2
ID_732,4,1,0,0,1
ID_733,4,1,0,0,0.5
ID_734,3,1,0,0,1.3
ID_735,3,1,0,0,1
ID_736,3,1,0,0,0.9
ID_737,3,1,0,0,0.8
ID_738,2,1,0,0,1.1
ID_739,1,1,0,0,1
ID_740,1,1,0,0,1
ID_741,1,1,0,0,0.8
ID_742,1,1,0,0,0.8
ID_743,1,1,0,0,0.7
ID_744,1,1,0,0,0.7
ID_745,1,1,0,0,0.5
ID_746,1,1,0,0,0.2
ID_747,1,1,0,0,-
